id, name, type, layer, confidence, mapped, canonical, rels
"extracted:lactobacillus_reuteri", "lactobacillus_reuteri", "Bacteria", "REASONING", 0.95, FALSE, NULL, 2
"extracted:staphylococcus_aureus", "staphylococcus_aureus", "Bacteria", "REASONING", 0.9, FALSE, NULL, 2
"C-Reactive Protein", "C-Reactive Protein", "Biomarker", "REASONING", 0.9, FALSE, NULL, 3
"C3 Complement", "C3 Complement", "Biomarker", "SEMANTIC", 0.85, FALSE, NULL, 0
"C4 Complement", "C4 Complement", "Biomarker", "SEMANTIC", 0.85, FALSE, NULL, 0
"Cardiolipin", "Cardiolipin", "Biomarker", "REASONING", 0.9, FALSE, NULL, 1
"Cd19 B-Cell", "Cd19 B-Cell", "Biomarker", "SEMANTIC", 0.85, FALSE, NULL, 0
"Cd3 T-Cell", "Cd3 T-Cell", "Biomarker", "SEMANTIC", 0.85, FALSE, NULL, 0
"Cd4 T-Cell", "Cd4 T-Cell", "Biomarker", "SEMANTIC", 0.85, FALSE, NULL, 0
"Cd8 T-Cell", "Cd8 T-Cell", "Biomarker", "SEMANTIC", 0.85, FALSE, NULL, 0
"Erythrocyte Sedimentation Rate", "Erythrocyte Sedimentation Rate", "Biomarker", "REASONING", 1.0, FALSE, NULL, 3
"Fecal Calprotectin", "Fecal Calprotectin", "Biomarker", "REASONING", 0.9, FALSE, NULL, 2
NULL, "Immunoglobulin A", "Biomarker", "PERCEPTION", 0.85, FALSE, NULL, 0
NULL, "Immunoglobulin G", "Biomarker", "PERCEPTION", 0.85, FALSE, NULL, 0
"Immunoglobulin M", "Immunoglobulin M", "Biomarker", "SEMANTIC", 0.85, FALSE, NULL, 0
"Natural Killer Cells", "Natural Killer Cells", "Biomarker", "SEMANTIC", 0.85, FALSE, NULL, 0
"extracted:immune_complexes", "immune_complexes", "Biomarker", "SEMANTIC", 0.85, FALSE, NULL, 2
"extracted:scd154", "scd154", "Biomarker", "SEMANTIC", 0.85, FALSE, NULL, 2
"Th17 Cells", "Th17 Cells", "Cell", "REASONING", 0.9, FALSE, NULL, 3
"Plasmacytoid Dendritic Cells", "Plasmacytoid Dendritic Cells", "Cell Type", "REASONING", 0.9, FALSE, NULL, 1
"Platelets", "Platelets", "Cell Type", "REASONING", 0.9, FALSE, NULL, 2
NULL, "Thymic Epithelial Cells", "Cell Type", "PERCEPTION", 0.7, FALSE, NULL, 1
"extracted:noninflammatory_colon-associated_macrophages", "noninflammatory_colon-associated_macrophages", "Cell Type", "REASONING", 0.9, FALSE, NULL, 2
"extracted:platelets", "platelets", "Cell Type", "REASONING", 0.9, FALSE, NULL, 4
"extracted:regulatory_t_cells", "regulatory_t_cells", "Cell Type", "PERCEPTION", 0.9, FALSE, NULL, 5
NULL, "Bisphenol A", "Chemical", "PERCEPTION", 0.8, FALSE, NULL, 1
"Heavy Metals", "Heavy Metals", "Chemical", "REASONING", 0.9, FALSE, NULL, 1
"extracted:bisphenol_a", "bisphenol_a", "Chemical", "SEMANTIC", 0.85, FALSE, NULL, 3
"extracted:environmental_toxins", "environmental_toxins", "Chemical", "SEMANTIC", 0.85, FALSE, NULL, 2
NULL, "Curcumin", "Compound", "PERCEPTION", 0.85, FALSE, NULL, 1
"Lactate", "Lactate", "Compound", "REASONING", 0.95, FALSE, NULL, 1
"extracted:curcumin", "curcumin", "Compound", "PERCEPTION", 0.85, FALSE, NULL, 2
"extracted:phosphatidylcholine", "phosphatidylcholine", "Compound", "SEMANTIC", 0.85, FALSE, NULL, 2
"Interleukin 18", "Interleukin 18", "Cytokine", "REASONING", 0.9, FALSE, NULL, 1
NULL, "Interleukin-2", "Cytokine", "PERCEPTION", 0.9, FALSE, NULL, 1
"extracted:il-18", "il-18", "Cytokine", "REASONING", 0.9, FALSE, NULL, 2
"extracted:interleukin-10", "interleukin-10", "Cytokine", "SEMANTIC", 0.85, FALSE, NULL, 7
"extracted:interleukin-2", "interleukin-2", "Cytokine", "PERCEPTION", 0.9, FALSE, NULL, 4
"extracted:interleukin-35", "interleukin-35", "Cytokine", "PERCEPTION", 0.8, FALSE, NULL, 2
"extracted:interleukin-37", "interleukin-37", "Cytokine", "SEMANTIC", 0.85, FALSE, NULL, 2
"extracted:interleukin-38", "interleukin-38", "Cytokine", "SEMANTIC", 0.85, FALSE, NULL, 2
"extracted:transforming_growth_factor-β", "transforming_growth_factor-β", "Cytokine", "SEMANTIC", 0.85, FALSE, NULL, 4
"Acute Inflammation", "Acute Inflammation", "Disease", "REASONING", 0.95, FALSE, NULL, 0
"Adherent-Invasive Escherichia Coli", "Adherent-Invasive Escherichia Coli", "Disease", "REASONING", 0.9, FALSE, NULL, 3
"Adolescent Hidradenitis Suppurativa", "Adolescent Hidradenitis Suppurativa", "Disease", "REASONING", 0.9, FALSE, NULL, 1
"Alzheimer's Disease", "Alzheimer's Disease", "Disease", "REASONING", 0.9, FALSE, NULL, 0
"Ankylosing Spondylitis", "Ankylosing Spondylitis", "Disease", "REASONING", 0.95, FALSE, NULL, 1
"Anti-Inflammatory Diet", "Anti-Inflammatory Diet", "Disease", "REASONING", 0.9, FALSE, NULL, 10
"Arthritis", "Arthritis", "Disease", "SEMANTIC", 0.85, FALSE, NULL, 1
"Asthma", "Asthma", "Disease", "REASONING", 0.9, FALSE, NULL, 0
"Autoimmune Disease", "Autoimmune Disease", "Disease", "PERCEPTION", 0.95, FALSE, NULL, 11
